allIssuesAndPrs.url,https://api.github.com/repos/democracy-ia/govinfo-link-js/issues/7
allIssuesAndPrs.repository_url,https://api.github.com/repos/democracy-ia/govinfo-link-js
allIssuesAndPrs.labels_url,https://api.github.com/repos/democracy-ia/govinfo-link-js/issues/7/labels{/name}
allIssuesAndPrs.comments_url,https://api.github.com/repos/democracy-ia/govinfo-link-js/issues/7/comments
allIssuesAndPrs.events_url,https://api.github.com/repos/democracy-ia/govinfo-link-js/issues/7/events
allIssuesAndPrs.html_url,https://github.com/democracy-ia/govinfo-link-js/issues/7
allIssuesAndPrs.id,309583334
allIssuesAndPrs.number,7
allIssuesAndPrs.title,refactor(client): use unmodified javascript-client from swagger-codegen
allIssuesAndPrs.user.login,gregswindle
allIssuesAndPrs.user.id,2849690
allIssuesAndPrs.user.avatar_url,https://avatars3.githubusercontent.com/u/2849690?v=4
allIssuesAndPrs.user.gravatar_id,
allIssuesAndPrs.user.url,https://api.github.com/users/gregswindle
allIssuesAndPrs.user.html_url,https://github.com/gregswindle
allIssuesAndPrs.user.followers_url,https://api.github.com/users/gregswindle/followers
allIssuesAndPrs.user.following_url,https://api.github.com/users/gregswindle/following{/other_user}
allIssuesAndPrs.user.gists_url,https://api.github.com/users/gregswindle/gists{/gist_id}
allIssuesAndPrs.user.starred_url,https://api.github.com/users/gregswindle/starred{/owner}{/repo}
allIssuesAndPrs.user.subscriptions_url,https://api.github.com/users/gregswindle/subscriptions
allIssuesAndPrs.user.organizations_url,https://api.github.com/users/gregswindle/orgs
allIssuesAndPrs.user.repos_url,https://api.github.com/users/gregswindle/repos
allIssuesAndPrs.user.events_url,https://api.github.com/users/gregswindle/events{/privacy}
allIssuesAndPrs.user.received_events_url,https://api.github.com/users/gregswindle/received_events
allIssuesAndPrs.user.type,User
allIssuesAndPrs.user.site_admin,false
allIssuesAndPrs.labels.id,876945788
allIssuesAndPrs.labels.url,https://api.github.com/repos/democracy-ia/govinfo-link-js/labels/priority:%20low
allIssuesAndPrs.labels.name,priority: low
allIssuesAndPrs.labels.color,c2e0c6
allIssuesAndPrs.labels.default,false
allIssuesAndPrs.labels.description,
allIssuesAndPrs.labels.id,876945792
allIssuesAndPrs.labels.url,https://api.github.com/repos/democracy-ia/govinfo-link-js/labels/status:%20accepted
allIssuesAndPrs.labels.name,status: accepted
allIssuesAndPrs.labels.color,009800
allIssuesAndPrs.labels.default,false
allIssuesAndPrs.labels.description,
allIssuesAndPrs.labels.id,876945813
